,Risk Off,Risk On,BTC
06/12/2016,114.7510006,245.0110336,752.67
07/12/2016,114.9304865,248.5172728,759.12
08/12/2016,115.0700803,251.7518704,764.99
09/12/2016,115.1484914,253.1978519,767.66
10/12/2016,115.2347931,255.5614124,771.90
11/12/2016,115.3413987,257.4917926,775.47
12/12/2016,115.3280907,254.5645196,770.50
13/12/2016,115.4113507,259.1662355,778.51
14/12/2016,115.4342324,259.3774915,778.93
15/12/2016,115.4438436,258.1950109,776.96
16/12/2016,115.4591961,257.7015648,776.18
17/12/2016,115.4982817,261.2208092,782.23
18/12/2016,115.5256694,265.5424615,789.60
19/12/2016,115.5351908,266.1362554,790.63
20/12/2016,115.540581,265.9170407,790.28
21/12/2016,115.5491324,271.5315982,799.78
22/12/2016,115.5529555,288.5383974,828.48
23/12/2016,115.5531057,306.3289865,858.50
24/12/2016,115.553109,340.1477624,915.56
25/12/2016,115.553109,325.6821806,891.16
26/12/2016,115.553109,328.5554861,896.00
27/12/2016,115.553109,332.8215604,903.20
28/12/2016,115.553109,346.3047184,925.95
29/12/2016,115.553109,378.315335,979.96
30/12/2016,115.553109,374.46387,973.46
31/12/2016,115.553109,367.185847,961.18
01/01/2017,115.9974714,371.7237265,968.97
02/01/2017,117.5059054,388.5411862,997.26
03/01/2017,118.9578486,399.0703121,1017.08
04/01/2017,119.8731076,408.0276149,1032.61
05/01/2017,123.4904382,474.3725372,1134.50
06/01/2017,117.0319026,392.5228923,1000.50
07/01/2017,112.6735549,323.8363314,892.46
08/01/2017,113.0802295,330.9396564,903.45
09/01/2017,113.4176178,336.7675788,912.48
10/01/2017,113.0689493,331.017804,903.51
11/01/2017,113.1774974,332.9573804,906.50
12/01/2017,109.4216377,254.602498,788.31
13/01/2017,109.9865842,267.166296,807.11
14/01/2017,110.5998279,280.2198384,826.75
15/01/2017,110.3666744,275.8407297,820.05
16/01/2017,110.4611125,278.9799461,824.55
17/01/2017,110.6463567,283.197431,830.84
18/01/2017,113.262436,332.3268531,906.03
19/01/2017,112.4246884,316.0675428,881.26
20/01/2017,113.127125,329.882013,902.26
21/01/2017,112.8787126,325.2552859,895.17
22/01/2017,113.889223,344.4239384,924.47
23/01/2017,113.819341,343.1171444,922.47
24/01/2017,113.7007734,340.9335723,919.12
25/01/2017,112.6028671,320.4544659,887.74
26/01/2017,112.871833,325.6709733,895.69
27/01/2017,113.6104164,339.3502691,916.67
28/01/2017,113.7435897,341.8202637,920.45
29/01/2017,113.8255952,343.332474,922.77
30/01/2017,113.563795,338.7073535,915.63
31/01/2017,113.7316906,341.7501949,920.31
01/02/2017,115.495146,372.9594191,968.50
02/02/2017,116.1996082,385.2620309,987.53
03/02/2017,116.9443064,398.3064133,1007.70
04/02/2017,117.2523659,403.131974,1015.30
05/02/2017,117.9403714,415.0670374,1033.79
06/02/2017,117.267915,402.5217076,1014.57
07/02/2017,117.6166007,408.0982206,1023.32
08/02/2017,118.7268616,427.7240289,1053.62
09/02/2017,118.7231349,426.7757219,1052.37
10/02/2017,116.1021545,381.9194481,982.75
11/02/2017,116.6475117,390.8044305,996.65
12/02/2017,117.2278497,400.2100339,1011.38
13/02/2017,117.0648077,396.8480098,1006.30
14/02/2017,116.8479167,392.6911048,999.95
15/02/2017,117.3514501,400.4576558,1012.21
16/02/2017,117.4506506,401.433864,1013.90
17/02/2017,118.3689988,416.013106,1036.81
18/02/2017,119.2391306,429.9510444,1058.67
19/02/2017,119.3702342,431.061582,1060.67
20/02/2017,119.3789455,429.5958373,1058.79
21/02/2017,120.5726339,448.6472341,1088.69
22/02/2017,122.1556375,474.3036283,1128.86
23/02/2017,122.3073301,474.4683847,1129.70
24/02/2017,124.1483598,513.8148918,1188.86
25/02/2017,124.1536645,511.2213054,1185.49
26/02/2017,123.2024125,488.3575296,1151.60
27/02/2017,124.3310339,507.7715677,1181.71
28/02/2017,124.8012934,515.782339,1194.15
01/03/2017,124.762693,511.5103249,1188.40
02/03/2017,125.9022288,538.4937572,1228.46
03/03/2017,126.7885105,562.0128903,1262.93
04/03/2017,127.4028746,580.2536523,1289.36
05/03/2017,127.1364736,565.4981553,1268.94
06/03/2017,127.7301399,569.2141579,1276.27
07/03/2017,128.4941824,571.3559757,1282.25
08/03/2017,128.279097,535.5389997,1234.48
09/03/2017,125.9991007,479.8808893,1152.14
10/03/2017,127.3254094,507.2307954,1193.46
11/03/2017,123.7313762,446.1305104,1098.53
12/03/2017,126.6320949,496.7269269,1176.82
13/03/2017,128.7512266,531.9548972,1231.75
14/03/2017,128.9823817,537.0631844,1239.40
15/03/2017,129.185984,541.8711699,1246.54
16/03/2017,129.4175634,550.3905935,1258.65
17/03/2017,128.0276603,493.2082954,1178.02
18/03/2017,123.5099567,426.6292247,1072.08
19/03/2017,115.7923086,367.4850522,962.57
20/03/2017,120.2896391,397.2398301,1020.22
21/03/2017,121.7274118,406.0687736,1037.76
22/03/2017,126.1223695,448.685812,1111.82
23/03/2017,121.9044876,405.1595397,1037.30
24/03/2017,121.4544308,399.614698,1028.17
25/03/2017,113.2969022,354.4000085,935.06
26/03/2017,116.3731919,370.2036483,968.54
27/03/2017,115.8245123,367.6799173,962.96
28/03/2017,123.7473405,403.5956292,1042.92
29/03/2017,124.4777055,402.9893643,1045.16
30/03/2017,124.5814233,398.4777315,1039.69
31/03/2017,124.7990183,396.4869817,1037.99
01/04/2017,126.0827613,425.835244,1081.74
02/04/2017,126.3674958,430.8750275,1089.52
03/04/2017,126.8613219,441.5583031,1105.56
04/04/2017,127.9991626,467.8146925,1144.66
05/04/2017,127.9478276,465.8824237,1141.92
06/04/2017,127.8027238,461.6755611,1135.81
07/04/2017,129.4352249,501.3969657,1194.60
08/04/2017,129.3925688,499.3438066,1191.73
09/04/2017,129.2449405,494.2256063,1184.42
10/04/2017,130.0713693,513.9195309,1213.63
11/04/2017,130.2279559,511.9062416,1211.65
12/04/2017,130.7705714,524.036389,1229.78
13/04/2017,130.4307995,514.6724091,1216.11
14/04/2017,129.1669512,485.4136098,1172.56
15/04/2017,129.258367,486.4790954,1174.33
16/04/2017,129.3340866,487.1773854,1175.56
17/04/2017,129.3148895,485.8092011,1173.69
18/04/2017,129.9044107,497.8474525,1191.90
19/04/2017,130.2587946,504.5368528,1202.13
20/04/2017,130.5212394,509.3787035,1209.56
21/04/2017,131.313362,526.9094867,1235.80
22/04/2017,131.713822,534.4477146,1247.34
23/04/2017,131.7067724,531.5781116,1243.55
24/04/2017,131.9445317,535.7509836,1250.00
25/04/2017,132.3143407,540.1054706,1257.24
26/04/2017,132.9951738,555.2267445,1279.86
27/04/2017,133.5487263,566.1653125,1296.49
28/04/2017,134.8394782,599.8064743,1345.89
29/04/2017,134.964791,601.0089667,1347.99
30/04/2017,135.2727724,607.4636924,1357.72
01/05/2017,135.945602,623.844786,1381.96
